Customer Message,Category
"done with transaction procedure	",payment check
"I dint receive your confirmation message for payment	",payment check
"will you please send confirmation message of payment	",payment check
"when ill get my delivery	",delivery ask
"what would be the date of delivery	",delivery ask
"when I will get my product	",delivery ask
"will I get my delivery on time	",delivery ask
"will there be any delay in delivery	",delivery ask
"can I get delivery today	",delivery ask
"can I get delivery tommorow	",delivery ask
"can I get delivery day after tommorow	",delivery ask
"can I get delivery on this weekend	",delivery ask
"can I get delivery on this date####	",delivery ask
"can you please change the date of delivery	",delivery ask
"I want to change the date of delivery	",delivery ask
"when the delivery is possible	",delivery ask
"what is fastest day of delivery possible	",delivery ask
"can I make changes in my delivery schedulle	",delivery ask
"at what time I will get my product	",delivery ask
"can I get it by tonight	",delivery ask
"can I get it in the morning itself	",delivery ask
"can I get it in the afternoon	",delivery ask
"can I get it in the evening	",delivery ask
"is it possible today	",delivery ask
"is it possible tommorow	",delivery ask
"is it possible tonight	",delivery ask
"is it possible to deliver today	",delivery ask
"is it possible to deliver tonight	",delivery ask
"is it possible to deliver today evening	",delivery ask
"is it possible to deliver today morning	",delivery ask
"is it possible to deliver today night	",delivery ask
"how much time it will take for delivery	",delivery ask
"what can be fastest shipping date possible	",delivery ask
"I want my delivery ontime	",delivery ask
"will the product get shipped on time	",delivery ask
"are there any delivery charges?	",delivery ask
"delivery charges?	",delivery ask
"is the delivery free?	",delivery ask
"will it be delivered on time?	",delivery ask
"free delivery?	",delivery ask
"how fast can you make	",delivery ask
"is my order placed?	",delivery ask
"where is my order?	",delivery ask
"When i will get the delivery	",delivery ask
"What will be the delivery date and time	",delivery ask
"What will be the delivery date	",delivery ask
"When i will receive the delivery	",delivery ask
"When i will get the product delivery	",delivery ask
"When i will get the product	",delivery ask
"When i will receive the product	",delivery ask
"What is the estimated delivery time	",delivery ask
"What is the estimated delivery date	",delivery ask
"What is the date and time of getting the delivery	",delivery ask
"When it will be arrived	",delivery ask
"When it will be received	",delivery ask
"tell me about the delivery	",delivery ask
"Tell me about the delivery timings	",delivery ask
"Tell me about the delivery date	",delivery ask
"tell me when it will be received	",delivery ask
"Tell me when i will get it	",delivery ask
"When i will get the product	",delivery ask
"When i will receive the packet	",delivery ask
"upto now taken	",delivery ask
"is there any delivery charges	",delivery ask
"I want acknowledgment for my payment	",delivery ask
"I want proof of payment that I made	",delivery ask
"I don’t want hand written receipt	",delivery ask
"What else can I do?	",delivery ask
"Did you get my money	",delivery ask
"After how much time the payment confirmation is done	",delivery ask
"Did you get my cheque	",delivery ask
"I have done payment twice how can I get my excess money	",delivery ask
"I have done payment n times how can I get my money back ?	",delivery ask
"Payment is done but the status is not confirmed yet	",delivery ask
"Payment is done and also status is confirmed	",delivery ask
"How can I check that my payment is done	",delivery ask
"How can I check my transaction	",delivery ask
"For how much time do I have to wait for successful transaction	",delivery ask
"Is there any offline messaging after payment confirmation	",delivery ask
"I didn’t receive your mail yet about successful transaction	",delivery ask
"I didn’t receive any message regarding payment done	",delivery ask
"How can I check my payment is done	",delivery ask
"Will I ab able to check about my transaction?	",delivery ask
"I have done payment for wrong product in that case what should I do?	",delivery ask
"Can I make another payment immediately ?	",delivery ask
"How much secure is your payment gateway ?	",delivery ask
"How can I contact you regarding payment	",delivery ask
"Is my money safe	",delivery ask
"Where do you keep all these payments ?	",delivery ask
"Can I get offers after payment	",delivery ask
"I don’t want ad mails after payment	",delivery ask
"Do u take offline money	",delivery ask
"Do u take offline payment	",delivery ask
"I am feeling secure payment gateway	",delivery ask
"How much profit you make during each payment	",delivery ask
"Oh I check that I have charged with extra money	",delivery ask
"This is not fare  I have charged with extra money	",delivery ask
"U have done cheating by taking extra money	",delivery ask
"Anything else	",delivery ask
"Awaiting for acknowledgment	",delivery ask
"Where to give feedback about payment	",delivery ask
"How can I cancel the payment	",delivery ask
"I need my money on urgent basis	",delivery ask
"It is your problem   I want my money back	",delivery ask
"You don’t know what would be the consequences if i didn’t get my moneyback	",delivery ask
"Waiting for the payment successfully done message	",delivery ask
"What to do if the payment is not successful	",delivery ask
"What to do now because my money got deducted and I haven’t received anything	",delivery ask
"I m worried now because I haven’t received any payment messages	",delivery ask
"After delivery can I be able to verify it before giving payment	",delivery ask
"Is there any document proof needed for delivery	",delivery ask
"Do I have to give any tip to delivery boy	",delivery ask
"Is there any third party involved in delivery	",delivery ask
"What else can I expect from you other than product	",delivery ask
"Can I get some free coupons on product	",delivery ask
"Can I expect to get free tickets or coupons on the product	",delivery ask
"The delivery boy should not ask for extra money on delivery otherwise he will not come back	",delivery ask
give me my money,order cancellation
give me my amount,order cancellation
give me my money I paid,order cancellation
give me my amount I paid,order cancellation
tell me about refund policy,order cancellation
give me details about refund policy,order cancellation
send money asap,order cancellation
return money asap,order cancellation
send amount asap,order cancellation
return amount asap,order cancellation
when will i get my money back,order cancellation
when will I get my amount back,order cancellation
I want my refund quick,order cancellation
I want my money quick,order cancellation
I want my amount quick,order cancellation
quickly refund my money,order cancellation
quickly refund my amount,order cancellation
quickly return my money back,order cancellation
quickly return my amount back,order cancellation
refund asap,order cancellation
cancel my order I am not happy with product,order cancellation
cancel my order I am not happy with your service,order cancellation
cancel my order I am satisfied with your service,order cancellation
product is not appealing me cancel the order,order cancellation
tell me how can I cancel order,order cancellation
tell me how to cancel order,order cancellation
what is procedure to cancel order,order cancellation
what procedure should I follow to cancel order,order cancellation
what is the process to cancel order,order cancellation
what process should I follow to cancel order,order cancellation
how to cancel order,order cancellation
I think I don't need your product right now,order cancellation
I think there is no use of your product to me,order cancellation
product is worthless cancel the order,order cancellation
product is not meeting requirements so cancel the order,order cancellation
I don't require product right now so cancel the order,order cancellation
I want good accuracy in terms of delivery,delivery ask
Can you please show the details of delivery,delivery ask
Where I will get my delivery,delivery ask
Where I will get delivery details,delivery ask
Where is your main office ?,delivery ask
I want to enquire about delivery office,delivery ask
Can I get my delivery as per my specified location,delivery ask
Can you show me which delivery services are better,delivery ask
Can you please give me better delivery services ?,delivery ask
Can I visit your delivery service office,delivery ask
what about the delivery stuff?,delivery ask
What is the procedure for free delivery charges ?,delivery ask
What are the rules for delivery charges,delivery ask
Is there any standard way for getting delivery charges?,delivery ask
Can you place product in remote areas?,delivery ask
Is delivery charges depends on distance travel,delivery ask
Can u exempt delivery charges,delivery ask
Can I get my delivery with exempted charges,delivery ask
Can you please reschedule my delivery,delivery ask
Hey bro please do me a favour of giving my delivery as soon as possible,delivery ask
is rescheduling possible in delivery,delivery ask
what can I do to reschedule delivery,delivery ask
Can I get my delivery in limited time,delivery ask
Can I get my delivery in stipulated time,delivery ask
How can I change my address,delivery ask
Is it possible to deliver lots of product on a single day?,delivery ask
I want free delivery if not received in stipilulated time,delivery ask
will i get free delivery if not received in time,delivery ask
how can I change my location,delivery ask
can you deliver product to my flat,delivery ask
tell me about the delivery things.,delivery ask
is it shinny,feature ask
is it fancy as it looks in image,feature ask
is it standard size,feature ask
is it really wearable,feature ask
What kind of features are available on this product,feature ask
Can u please update the features of product,feature ask
Tell me some advanced features,feature ask
tell me some more features,feature ask
I want more features than this,feature ask
provide me proper features list,feature ask
What separates this product,feature ask
Which features separates this product from others,feature ask
other features than basic,feature ask
Can You give me detailed features of the product,feature ask
Is it compatible,feature ask
Is it convenient to wear,feature ask
does it have guarantee,feature ask
does it have warranty,feature ask
doesn't it have guarantee,feature ask
doesn't it have warranty,feature ask
is it sustainable,feature ask
What is the durability of that product ?,feature ask
is it sweat absorbing,feature ask
What kind of clothing is used in that product,feature ask
How much *%is used,feature ask
which material is used for this,feature ask
is branded material used,feature ask
Which kind of style is suitable on this item,feature ask
Whether this product is seasonal or not?,feature ask
is it assured product,feature ask
What are the benefits of product ?,feature ask
